id_agree,rta_deep_std1,rta_deep_std2,rta_deep_std3,rta_deep_std4,rta_deep_std5,rta_deep_std6,rta_deep_std7,rta_deep_std8,rta_deep_std9,rta_deep_std10,rta_deep_std11,rta_deep_std12,rta_deep_std13,rta_deep_std14,rta_deep_std15,rta_deep_std16,rta_deep_std17,rta_deep_std18
161,1.3562429,1.8332771,1.6942763,1.3244389,2.5372155,0,0,0,0,3.1518633,1.9531779,1.4740449,0,1.9634356,2.1946158,1.4154876,1.9255615,0
162,1.6074414,1.8430159,2.8615384,2.219887,2.2208226,0,4.9475226,0,3.1023321,0,2.0354841,4.0915518,2.2741234,2.5807645,1.6374973,2.1151409,2.0103889,4.5899248
163,1.3562429,2.3491282,2.8615384,2.2069013,3.6497083,7.6102896,4.0788207,3.7017879,3.6803935,4.3616071,2.1405478,2.8831434,2.8645325,4.1019692,1.3615509,2.9208279,2.6329713,4.3969402
164,3.0902417,1.6161331,2.4526265,4.101295,3.8671238,4.9905725,3.6729,3.1260505,3.9249685,2.4379425,2.0629787,4.8352098,2.6508234,3.1732397,2.6060398,2.1158926,2.3481944,3.5756762
165,1.6074414,1.8255302,2.8615384,2.7008083,2.4211149,5.4499478,4.9827394,4.6236167,2.9605134,0,2.3239,4.8140187,2.4772687,2.1069038,1.8741169,2.4375486,2.8724496,4.8106842
167,6.7854304,1.8299567,1.6942763,4.101295,3.521322,6.8140121,3.6014998,3.1260505,3.2430651,0,2.2298043,4.0917249,2.7489247,3.0971389,2.0779161,2.2889106,2.018837,4.8844028
168,1.3562429,2.2347653,2.4526265,2.2841287,3.6564443,0,4.0633178,0,3.0498936,4.6956143,2.1952891,3.6513267,2.5352399,1.6426386,1.6374973,2.474612,2.5897198,5.2686982
169,2.1553695,2.1966612,1.6942763,4.289989,3.5674586,0,4.9908633,5.1415234,3.7375808,5.1062412,2.2838964,4.3421674,2.7528753,3.4327035,2.873385,2.4285808,3.4095137,4.2234774
170,1.3562429,2.2742925,3.3301098,1.4615719,3.0989909,0,0,3.7199996,0,4.55582,2.0502656,1.4740449,0,2.5214071,2.1235983,1.6370906,2.531352,0
171,2.1553695,1.7220714,2.4526265,4.2266679,3.2663758,0,4.0967131,4.8119593,3.1381676,3.6718137,1.9951063,4.2750626,2.5603454,0,1.3615509,2.3027024,2.6752005,3.599153
172,1.3562429,2.2095201,1.6942763,3.1266017,2.6161313,7.4216981,4.6924419,6.6428571,3.1854601,4.7428246,1.856163,2.6274276,2.5717609,2.1668382,1.9603577,2.5402355,2.1362848,4.3678365
173,3.3545775,1.9527278,2.5769978,2.5819199,4.3201165,0,0,5.3568459,0,3.1518633,2.0921052,2.8397548,0,1.9853495,2.3156712,1.8115482,3.4462554,0
174,1.3562429,1.9884911,1.6942763,3.0544558,2.4921818,6.4652586,4.0988073,0,3.1434376,1.8693466,2.4386415,2.90312,2.6181619,2.3090682,1.7300684,2.3617597,2.018553,4.8071761
175,1.3562429,1.5300164,1.6942763,2.6284013,2.3770137,2.8396947,0,0,0,0,2.0825598,2.8179293,0,0,1.4358221,2.5199921,1.9502621,0
176,3.0902417,1.6161331,2.4526265,4.101295,3.8671238,4.9905725,3.6014998,3.1260505,3.9249685,2.4379425,2.2337365,4.8352098,2.6508234,3.1732397,2.3337352,2.1158926,2.3481944,3.5756762
177,1.3562429,1.553198,1.6942763,1.9961804,0,0,0,0,0,0,2.073786,4.6505642,0,2.7304425,1.3144341,1.6497107,0,0
178,5.09589,1.5064789,2.8615384,3.6219561,2.9161048,0,0,0,0,0,0,2.9210856,0,0,1.2455937,1.3675501,2.2824233,0
179,2.5735474,2.0178957,2.8615384,3.5077755,3.0402179,0,4.2979274,3.9392881,3.2093875,0,1.9553223,3.9674523,2.2453699,3.137043,2.078289,2.2052164,2.6325338,4.7223325
180,1.6689082,1.5061935,2.8615384,1.3244389,0,0,0,0,0,0,3.4362335,0,0,1.8734887,1.4201392,1.3675501,1.5684181,0
181,1.3562429,1.9640387,2.8615384,1.1552795,2.6831875,0,0,0,0,3.1610446,2.0430255,2.3399003,0,1.953185,1.8895166,1.8302091,2.7313836,0
183,1.3562429,1.828558,1.6942763,1.9283617,2.8958499,7.1885509,4.3390932,0,3.4477112,0,2.226805,3.2683613,2.4494839,2.229847,1.3499699,2.4303827,2.3904889,4.4825392
184,1.3562429,2.4244707,1.6942763,4.5358233,2.3646657,6.7832074,4.8042951,4.9407859,3.2064445,4.1662235,2.1848376,1.8020921,2.2245011,2.3128831,3.3502398,0,2.1275616,8.2211838
186,1.3562429,1.9640387,2.8615384,1.1552795,2.6831875,5.122685,0,0,0,1.8693466,2.0430255,1.4740449,0,1.953185,1.8181086,1.5594511,1.9255615,0
187,5.09589,1.8040242,2.8615384,2.7320311,2.2643645,0,5.0915489,0,4.4937739,0,2.4112222,1.7677823,2.5865188,2.0813613,1.3358704,1.7434644,2.1467564,0
188,4.917942,1.9259861,3.4080093,2.5868502,3.7249248,6.1258078,3.9389877,3.4101186,3.1666996,0,2.0923955,5.5203204,2.7183309,3.4497914,1.7858132,3.3187099,2.4287291,4.5935197
189,16.173912,1.7666291,3.9469295,1.7826923,2.5278325,5.6131234,0,3.7199996,2.9227531,3.8059378,1.9531779,1.8035522,0,2.5505471,2.2285573,2.1488833,2.9906292,0
