id_agree,rta_deep_std1,rta_deep_std2,rta_deep_std3,rta_deep_std4,rta_deep_std5,rta_deep_std6,rta_deep_std7,rta_deep_std8,rta_deep_std9,rta_deep_std10,rta_deep_std11,rta_deep_std12,rta_deep_std13,rta_deep_std14,rta_deep_std15,rta_deep_std16,rta_deep_std17,rta_deep_std18
367,3.6480665,2.3648183,5.1587114,3.2799642,1.810427,5.1655183,0,0,2.6553159,3.1518633,2.0937467,2.1180856,0,2.4125292,2.8944488,3.8145115,2.034677,0
368,2.9918849,1.4729275,2.4867759,3.4414074,3.5084333,0,0,0,0,0,2.1963894,3.2004216,0,0,1.3615509,1.6174061,3.0325963,0
369,3.2094905,2.2297816,5.1587114,3.7366176,0,5.2394366,0,0,2.9589453,3.1518633,2.0937467,3.3055465,0,2.2451966,2.1989353,0,2.1487288,0
370,5.548161,2.4242723,4.3253574,4.2839684,3.0041983,6.6882267,5.3536749,5.0972381,3.9943945,0,2.2783115,3.5550222,2.4060769,0,2.9819863,3.4598546,2.7410765,3.6153984
372,2.1159716,2.0167644,2.5592158,1.1552795,2.6566317,0,0,3.7199996,0,10.247343,1.9333866,1.1698112,0,1.6254425,2.473238,0,1.7339768,0
373,3.2094905,2.2654946,2.8615384,3.2799642,2.7474403,5.3513346,0,0,2.6204479,3.1518633,2.0146501,2.1180856,0,2.3275204,2.790956,3.8145115,1.931338,0
374,3.6707149,2.7422292,3.0440278,5.2244377,3.0662367,7.2824297,4.1948028,5.3074265,3.3086128,5.1224642,1.8836421,4.7307253,2.5223784,2.3135741,3.1495075,4.5590038,3.0492308,5.5771685
375,1.1742319,2.4217048,1.5119114,3.2438233,2.5661139,7.1933737,5.5951662,4.9407859,3.1414618,0,1.9671429,0,0,2.8016987,3.6534588,2.1636565,2.078774,9.0322962
376,3.4819341,1.9517357,2.4867759,2.5819199,4.3201165,0,0,5.3568459,0,3.1518633,2.0146501,2.8397548,0,1.9853495,2.3156712,1.8115482,3.4462554,0
377,1.1742319,2.0476954,2.3810334,3.3961172,2.4104679,4.8072505,0,0,2.8770132,3.1518633,1.9840999,2.6230674,0,2.257633,2.1805673,1.7275475,1.9854996,7.4713001
378,2.4058056,0,2.1934025,3.1087155,4.0542679,0,0,0,0,0,2.4994593,2.8694258,0,0,1.3078742,2.0110965,2.4386022,0
379,1.1742319,2.489116,2.8615384,1.3244389,3.896178,4.3731432,0,0,3.8431048,1.8693466,2.3822231,1.1698112,2.1944671,0,1.5068145,1.8115482,1.638369,3.7224207
380,2.3101134,2.6103225,2.2869465,5.448977,3.2133043,6.9856439,4.571259,5.5529046,2.9163728,5.1224642,1.8836421,4.3436251,2.2513292,1.886245,2.3878784,1.9328099,2.9872947,6.5563617
381,3.6480665,2.2262924,2.8615384,4.5684795,2.2778151,5.8109589,5.9882245,3.5769231,3.2119377,0,2.111222,0,2.1674087,2.2114825,3.5641906,0,1.8773311,0
382,1.1742319,2.4238279,1.5119114,4.5358233,2.3646657,6.7832074,4.8042951,4.9407859,3.2064445,4.1662235,2.1106946,1.8020921,2.0302994,2.3128831,3.3502398,0,2.1275616,8.2211838
383,3.5002346,2.5421982,3.7141802,5.4690557,3.6290886,6.3512812,0,5.1019535,3.6209679,4.8489242,2.9439275,4.2207694,2.5133655,5.7322264,2.4698408,4.8710737,3.1416824,4.0422025
384,1.4427711,2.5128782,1.9230852,1.1552795,3.1506326,6.0739808,0,0,0,0,2.4871366,3.5476069,0,0,2.3263097,1.7064022,3.5873613,0
385,3.5167906,2.369427,3.4350491,5.4440756,4.3517179,7.4486732,6.0491328,5.1883574,3.5981083,5.1261921,2.5033574,4.3888879,2.5650132,6.3784966,3.2877088,4.6622601,2.9253402,4.0422025
386,3.5167906,2.1930871,2.9932771,4.5302839,4.1685586,7.5509181,5.0000429,5.106185,3.5731218,5.3513651,2.8465114,3.5182447,2.7262542,3.9109979,2.7115338,3.9216876,3.1233888,4.5132275
388,2.9918849,0,2.4867759,3.4414074,0,0,0,0,0,0,2.1963894,3.2004216,0,0,0,1.6174061,0,0
389,2.9918849,0,2.4867759,3.4414074,0,0,0,0,0,0,2.1963894,3.2004216,0,0,0,1.6174061,0,0
390,6.2537432,0,3.3071511,4.0236969,2.6946096,0,0,0,0,0,0,3.8784838,0,0,0,3.8285167,3.029573,0
391,2.9918849,0,2.4867759,5.0681763,3.0958705,0,0,0,0,0,2.2403104,1.1698112,0,0,0,0,2.251771,0
393,3.4037731,1.9319671,4.7168689,3.6991169,2.6782868,7.2338486,0,4.6876717,3.2060313,0,0,2.8721561,2.448334,0,2.2062111,0,3.1152866,4.0042934
394,9.0123062,0,3.8662975,0,2.5675111,10.099067,0,0,2.7954912,5.2193742,3.3934422,5.9987006,3.1607687,0,3.1326711,4.2480679,3.1994185,4.9885426
395,8.3700571,3.0182152,3.5516691,1.4339759,3.6259644,8.6544914,9.155303,0,4.0414639,4.814023,3.2118113,4.5145407,2.771332,0,0,4.2641444,3.6517916,5.3539124
396,2.999306,0,1.9249419,1.87988,3.9624736,0,0,0,3.0931094,0,1.7573591,4.0852118,2.1922882,3.5491433,4.1291699,3.5629599,3.9892395,0
398,2.5646918,0,1.3425143,1.1552795,2.9822948,0,0,0,3.04197,0,3.3292542,3.8972356,2.4491799,0,2.2414398,3.7068796,2.8588667,5.059576
399,1.8724149,3.1470673,2.1648641,6.3251171,3.7972455,8.7596045,4.6951962,5.3552771,3.5230839,5.3583646,2.5062454,4.2411799,2.9356127,10.138485,2.5029798,4.8677821,3.9176719,4.0388718
400,2.0110707,3.0215857,1.9230852,6.2897553,4.9066858,8.1758575,4.8900433,5.3552771,3.0827935,4.941709,3.1215618,4.7078729,2.8981721,9.4721518,2.6167064,3.7868648,3.7936928,4.3671112
